galaxy_id,distance,num_points,baryonic_fraction,mond_simple_corr,mond_simple_mape,mond_std_corr,mond_std_mape,teves_corr,teves_mape,pinning_corr,pinning_mape,mond_simple_ratio,mond_std_ratio,teves_ratio,pinning_ratio
F568-V1,80.6,14,0.45719261243294007,0.9558009162922666,54.03145383061332,0.9556897695417667,54.27905360429033,0.9557045026309126,54.23166052756067,0.9556788125389623,53.15169809839216,0.4596854616938667,0.45720946395709666,0.45768339472439334,0.4684830190160784
F571-V1,80.1,7,0.5776203509458275,0.9316364040034731,41.74327270338757,0.9238216520147632,42.23294394994932,0.9249551376468373,42.14612692761215,0.9236433702425731,40.811527024418005,0.5825672729661243,0.5776705605005067,0.5785387307238785,0.59188472975582
F574-1,96.8,13,0.587665662539309,0.9558789413412186,40.954604492286244,0.9563775369500276,41.23197217536337,0.9563037388064621,41.177192429362215,0.9563853206782565,39.782188891146724,0.5904539550771376,0.5876802782463663,0.5882280757063779,0.6021781110885327
F583-1,35.4,21,0.46408293227086095,0.9300570176569238,53.05634910108678,0.9303734550589753,53.58524771288288,0.9303460480041856,53.49558926790112,0.9303893325287516,52.445650416983256,0.46943650898913203,0.46414752287117134,0.465044107320989,0.4755434958301675
F583-4,53.3,10,0.6648808313541308,0.9161011176324373,33.139979113683374,0.9125952183990513,33.50966440551978,0.9131632370938465,33.438363379736586,0.9125482035149768,31.86998855883934,0.6686002088631663,0.6649033559448023,0.6656163662026342,0.6813001144116065
IC2574,3.91,33,0.649028328869717,0.9766868076043759,34.2581047197865,0.9759185825725913,35.08609771280625,0.976018878158577,34.948704182034035,0.9758970662026063,33.49438668358975,0.657418952802135,0.6491390228719375,0.6505129581796595,0.6650561331641024
KK98-251,6.8,10,0.6915347236637317,0.9878810682588586,30.16297911724906,0.9871764791698738,30.83959755716707,0.9872773893242685,30.720908952631316,0.9871597716237874,29.13877733666264,0.6983702088275094,0.6916040244283292,0.6927909104736868,0.7086122266333735
NGC0024,7.3,21,0.6490080494456505,0.27630129189399977,34.99510413841306,0.2665607922590683,35.09871316422599,0.26827546913758255,35.076585755807535,0.26647492590514854,33.49646470618948,0.6500489586158695,0.6490128683577402,0.6492341424419247,0.6650353529381052
NGC0055,2.11,21,0.7608547260614785,0.9804165359654021,24.29670875060327,0.9791832604615806,24.577112193156463,0.9793988114450837,24.518676318871208,0.9791706454618749,23.2674307793413,0.764107839190882,0.7608707315496713,0.7615182154201934,0.7796440917999649
NGC0100,13.5,19,0.7162878279331484,0.3960868157769935,28.732041098769084,0.37813403281275754,28.972267182417593,0.38122072940663315,28.924373773024694,0.3779641093827171,27.550489701407315,0.7188972615325379,0.716300995846586,0.7168241472256586,0.7339766107087113
NGC0247,3.7,26,0.63985267444737,0.9656767437577305,35.73463113516638,0.9645880483073418,36.01342422885909,0.9647698963696606,35.95747247114975,0.9645758313109948,34.43461147470224,0.642653688648336,0.6398657577114091,0.6404252752885025,0.6556538852529776
NGC0300,2.08,24,0.5976955565670119,0.33703662379508786,39.936382614223774,0.3082626805863052,40.22842810987856,0.312930585580121,40.172336454112205,0.3079052611856861,38.75443058825008,0.6006361738577624,0.5977157189012144,0.5982766354588781,0.6124556941174991
NGC1003,11.4,36,0.6116672988119224,-0.5974360814119457,40.4255484198461,-0.6050505248615337,40.937412658979696,-0.6039417958190746,40.85725177442617,-0.6052023363530021,40.03741279879662,0.6171019896750127,0.6117629056876712,0.6126186333176203,0.6267724696073267
NGC1090,37.0,23,0.951665569637244,0.6113160505970467,15.392132006948746,0.6067206885499823,15.500067942093386,0.6076621529207356,15.476773846289227,0.6067047699697093,14.832601788190496,0.9529828448431278,0.9516686446694756,0.9519642930376095,0.9751670237731735
