ID,D,R,Vobs,e_Vobs,Vgas,Vdisk,Vbul,SBdisk,SBul,Baryonic,Vdm
F574-1,96.8,8.92,96.3,4.4,18.98,49.17,0.0,6.85,0.0,52.706065115885856,43.59393488411414
F574-1,96.8,9.87,97.8,4.4,21.99,49.76,0.0,6.33,0.0,54.40236851461524,43.39763148538476
F574-1,96.8,10.79,98.8,4.62,25.0,50.33,0.0,5.29,0.0,56.197054193258204,42.60294580674179
F574-1,96.8,11.8,99.5,4.4,27.82,50.68,0.0,4.09,0.0,57.813621232370494,41.686378767629506
F574-1,96.8,12.6,99.7,5.14,30.02,50.19,0.0,3.23,0.0,58.48278806623364,41.217211933766364
F583-1,35.4,0.26,14.6,13.0,-0.5,5.06,0.0,34.28,0.0,5.084643546995206,9.515356453004793
F583-1,35.4,0.44,10.0,7.0,-0.86,8.17,0.0,31.74,0.0,8.215138465053403,1.7848615349465966
F583-1,35.4,0.77,10.7,7.13,-1.55,13.14,0.0,26.03,0.0,13.23110350651071,0.0
F583-1,35.4,0.89,17.4,9.6,-1.78,14.55,0.0,23.16,0.0,14.658475364102502,2.7415246358974965
F583-1,35.4,1.22,23.5,11.2,-2.43,17.29,0.0,17.48,0.0,17.45992554394205,6.040074456057951
F583-1,35.4,1.55,31.0,5.2,-2.98,18.37,0.0,11.3,0.0,18.61013970930901,12.38986029069099
F583-1,35.4,1.8,32.3,2.41,-3.18,18.25,0.0,10.51,0.0,18.524980431838518,13.775019568161479
F583-1,35.4,2.21,40.9,5.9,-3.53,19.06,0.0,10.14,0.0,19.384130106868348,21.51586989313165
F583-1,35.4,2.31,43.8,4.26,-3.66,19.39,0.0,9.91,0.0,19.732402286594503,24.067597713405494
F583-1,35.4,2.54,44.8,4.5,-4.08,20.16,0.0,9.2,0.0,20.568714106623194,24.231285893376803
F583-1,35.4,3.1,51.7,12.7,-5.16,22.16,0.0,8.56,0.0,22.752828395608315,28.947171604391688
F583-1,35.4,3.43,55.7,4.5,-4.94,23.71,0.0,7.6,0.0,24.21915977072698,31.480840229273024
F583-1,35.4,3.86,59.4,9.85,-3.07,24.94,0.0,6.05,0.0,25.128241084485005,34.271758915514994
F583-1,35.4,4.09,62.0,4.5,1.31,25.34,0.0,5.43,0.0,25.37383888969109,36.626161110308914
F583-1,35.4,4.37,63.0,3.2,4.42,25.74,0.0,4.75,0.0,26.11673792800318,36.883262071996825
F583-1,35.4,4.76,66.6,6.9,7.13,26.09,0.0,3.9,0.0,27.046718839814933,39.553281160185065
F583-1,35.4,5.4,71.3,2.95,11.25,26.17,0.0,2.77,0.0,28.48563497624724,42.81436502375276
F583-1,35.4,5.86,72.3,15.5,13.88,25.92,0.0,2.15,0.0,29.402394460315644,42.89760553968435
F583-1,35.4,6.08,73.4,6.0,14.94,25.73,0.0,1.92,0.0,29.75292422603197,43.64707577396804
F583-1,35.4,6.43,72.4,5.81,16.72,25.39,0.0,1.61,0.0,30.400830580758807,41.9991694192412
F583-1,35.4,6.97,77.1,12.1,19.67,24.74,0.0,1.25,0.0,31.606589502823617,45.49341049717638
F583-1,35.4,7.96,80.3,13.5,24.09,23.76,0.0,0.92,0.0,33.83586410895989,46.46413589104011
F583-1,35.4,10.29,84.7,6.0,31.66,22.09,0.0,0.37,0.0,38.60471085243354,46.09528914756646
