ID,D,R,Vobs,e_Vobs,Vgas,Vdisk,Vbul,SBdisk,SBul,Baryonic,Vdm,ID_R,Vbaryonic,rho_baryonic,V_MOND,V_TeVeS,V_pinning_dm,V_pinning_total,V_observed_total,Pinning_residual,MOND_residual,TeVeS_residual,Baryonic_residual
,4.04,2.96,42.0,0.2,16.2,9.16,0.0,0.02,0.0,18.61036270468687,23.38963729531313,DDO154_2.96,18.61036270468687,1e-05,3362.709859622147,661.4881706032513,0.018610363865827685,18.61037200986706,42.0,23.38962799013294,-3320.709859622147,-619.4881706032513,23.38963729531313
,4.04,3.46,44.6,0.2,17.6,8.37,0.0,0.01,0.0,19.48889170784219,25.11110829215781,DDO154_3.46,19.48889170784219,1e-05,3632.2016601504934,692.7963570414341,0.01948889292379633,19.48890145228682,44.6,25.11109854771318,-3587.6016601504934,-648.1963570414341,25.111108292157812
,4.04,3.95,46.3,0.2,17.91,7.77,0.0,0.0,0.0,19.52283278625313,26.77716721374687,DDO154_3.95,19.52283278625313,1e-05,3874.116802575782,694.153823432164,0.019522834004324925,19.5228425476683,46.3,26.777157452331696,-3827.816802575782,-647.8538234321641,26.777167213746868
,4.04,4.44,47.4,0.3,17.48,7.29,0.0,0.0,0.0,18.93923176900267,28.460768230997328,DDO154_4.44,18.93923176900267,1e-05,4098.890398632294,673.5775580721604,0.018939232950662337,18.93924123861737,47.4,28.46075876138263,-4051.490398632294,-626.1775580721604,28.460768230997328
,4.04,4.94,48.2,0.6,16.93,6.89,0.0,0.0,0.0,18.27832049177385,29.92167950822615,DDO154_4.94,18.27832049177385,1e-05,4316.005676548631,650.213931457401,0.018278321632197832,18.27832963093295,48.2,29.92167036906705,-4267.805676548631,-602.013931457401,29.921679508226152
,4.04,5.43,47.4,0.7,16.28,6.55,0.0,0.0,0.0,17.548244926487662,29.851755073512336,DDO154_5.43,17.548244926487662,1e-05,4518.441866395981,624.3566188365841,0.01754824602136065,17.548253700609028,47.4,29.85174629939097,-4471.041866395982,-576.9566188365841,29.851755073512336
,4.04,5.92,45.5,1.3,15.64,6.26,0.0,0.0,0.0,16.8462814888034,28.6537185111966,DDO154_5.92,16.8462814888034,1e-05,4712.402911466718,599.4691901177866,0.016846282539879368,16.84628991194309,45.5,28.65371008805691,-4666.902911466718,-553.9691901177866,28.6537185111966
,7.5,0.6,16.0,3.53,6.82,12.59,0.0,30.32,0.0,14.318536936433135,1.6814630635668646,DDO161_0.6,14.318536936433135,1e-05,1557.8640826464932,507.16786442047623,0.014318537829797648,14.318544095700707,16.0,1.681455904299293,-1541.8640826464932,-491.16786442047623,1.6814630635668646
,7.5,0.73,16.6,4.83,8.12,14.22,0.0,27.69,0.0,16.375066412079065,0.2249335879209368,DDO161_0.73,16.375066412079065,1e-05,1723.7977839642326,579.7921557305361,0.016375067433754904,16.375074599611246,16.6,0.22492540038875575,-1707.1977839642327,-563.1921557305361,0.22493358792093687
,7.5,0.85,18.6,2.5,9.3,15.27,0.0,27.15,0.0,17.879119105817267,0.7208808941827343,DDO161_0.85,17.879119105817267,1e-05,1862.0910020726699,632.9651314326111,0.01787912022133421,17.8791280453757,18.6,0.7208719546243003,-1843.49100207267,-614.3651314326111,0.7208808941827343
,7.5,0.98,20.0,7.58,10.41,17.04,0.0,25.71,0.0,19.96821724641436,0.031782753585638,DDO161_0.98,19.96821724641436,1e-05,2006.9543343085809,706.6086873029412,0.019968218492274654,19.96822723052173,20.0,0.03177276947826968,-1986.9543343085809,-686.6086873029412,0.03178275358564164
,7.5,1.07,21.4,4.03,11.27,18.03,0.0,24.23,0.0,21.26249750146958,0.13750249853042,DDO161_1.07,21.26249750146958,1e-05,2101.0753913175035,752.2397434044444,0.021262498828082822,21.262508132717,21.4,0.1374918672829999,-2079.6753913175035,-730.8397434044444,0.13750249853042007
